text,label
Büyük büyük düğünler sadece gelinin hizmetçinin elbiseleri ve benim tanıdığım insanlar için böyle şeyler,0
"Lid won’t close in my Keurig with this item being used. Throwing it away, waste of money.",1
Ve okul ne zaman izin verirse sadece yok ne yapacağım hakkında hiçbir fikrim yok çünkü geçen yıl yaptığımız şeyi kesinlikle karşılayamam,0
Christmas gift for grand daughter. She loves them.,1
"2002 mali yılı için vba , organizasyon performans hedefleri ve gerçek performansı anlamlı ve ölçülebilir performans unsurları ile bağlayan performans unsurları için bireysel sorumluluk geliştirmek için bölgesel ofisleri üst düzey yöneticiler için performans planlarını revize etti .",0
"I put the silver one on my phone last night. It was great! Worked well, swiveled, everything I expected...until it came off 3 hrs later and I dropped my phone on my face! I had been using a different brand for awhile but the design was childish so I tried these. Never again! Just not sure what I'm going to do with the extras because I'm too embarrassed to give them to friends.",1
UM-hum oh hayır bence evet oğlum sadece gündüz bakım yapıyor ama hatta ders dışı aktiviteleri var ve yaşlandıkça daha da al bu işin içine çok,0
"Very nice, but came with a broken slat. It’s still functional",1
"I highly recommend buying this; it is so great! I have gotten so many compliments on it. I love the bright red color. It has wheels and an extendable handle like a suitcase, which makes it so easy to transport. It has three different compartments, which are roomy. It does not have any dividers, which I personally like because there’s more room. It came with two sets of keys to lock it. This is such a great product, especially if you are a makeup artist, nail tech, cosmetology student. Etc.",1
Her biri sessizlik içinde yedi .,0
Aykırı uygun ilgi var mı ?,0
Smelled like it was rancid. Not sure if it was stored correctly.,1
"We loved this movie! Good action, sci-fi, and very enjoyable. If you like action packed sci-fi movies, this movie is an entertainer from the word go.",1
They are easy to work with,1
"Tam 1966 ' de yaratılan kwanzaa , birçok siyah Amerikalı ' yı Afrika mirasına geri getirdi , bu yüzden hanuka yahudileri mirasına bağ yardım etti ve bazı durumlarda onları geri getirdi .",0
"Blacks out light, the only light is the light the leaks in from the edges.",1
The product came fast and I have no problem installing it. The material looks high quality and fit nicely in the back seat. I highly recommended this and it at a great price.,1
My case was broken when I got it in the mail,1
It comes with five!! I can put every bedroom and the living room with one and take the short one to school. And the charging speed is quick.,1
Very bad quality and looks cartoonish...not what I was looking for but for the price I figured I could try it.,1
I really like this set and now having wedding rings I can wear when doing yard work or at the beach.,1
Ne de olsa sadece bir film,0
When I started wearing this product my skin got rash and itched it the area that caused me and irritated spending and getting worst. I don't know why this product has this problem it costs me other money to my the medicine for itching and getting a rash. My skin got pilled when I itched the area and it causing me a lot of problem with this product.,1
